class_name,whatsapp_link
1A,https://chat.whatsapp.com/GhnsoUges2kJqU0bgG3SHn
1B,https://chat.whatsapp.com/B5bJ9mhVKfH8TGqUpa7FCf
2A,https://chat.whatsapp.com/Kw7p7Z9kUrf0AIsIBdG5v1
2B,https://chat.whatsapp.com/DBGZfYqYvjhHBgPeQq379d
2C,https://chat.whatsapp.com/KwIS7jBa4hX0913TlSlbe4
3A,https://chat.whatsapp.com/DVwlzvwINz8GcARR3uGM58
3B,https://chat.whatsapp.com/LWgRHvlSP6cGOTLva3sgKw
4A,https://chat.whatsapp.com/FjHIInqfsZQJZP0rV9IrA0
4B,https://chat.whatsapp.com/K2v2ceceW133eXwHxvLcpP
4C,https://chat.whatsapp.com/L1ZGGlGHiqLLXmwNqwqx8o
5A,https://chat.whatsapp.com/KKrxiYP3D8xFBfWdv31359
5B,https://chat.whatsapp.com/C7rDSmK9Z1B0JhT3zv0xT4
5C,https://chat.whatsapp.com/CEuDuT6tN2C8eIeY0RnLjf
6A,https://chat.whatsapp.com/DvP0CyxM2V622PalVS0oi8
6B,https://chat.whatsapp.com/LsqDaTaHLdpEdWqKR5iVaR
6C,https://chat.whatsapp.com/KfSEnIYDpbUGtFCjKhTpzh
7A,https://chat.whatsapp.com/IUitACFq7a1IBeNUDUPwqB
7B,https://chat.whatsapp.com/H7eyY6hh5LkDUAvvcxsLXy
7C,https://chat.whatsapp.com/GcZL6xelaiQ0LHWjJwCwqz
7D,https://chat.whatsapp.com/KuAlhkrcxycE3ZQ9yRPtq2
8A,https://chat.whatsapp.com/DafDuuYv63XH5oQX95Omty
8B,https://chat.whatsapp.com/G9cDXQvS3v8HJyPSP1ZYJa
9B,https://chat.whatsapp.com/CeVAQk9phhH2J6zdZb8UIw
10CFBA,https://chat.whatsapp.com/HBETycoLCLm4GJ2Tiw7N4I
10CFBB,https://chat.whatsapp.com/DHWW4TWaW7b9R9yL357pyU
10CEJ,https://chat.whatsapp.com/CGEmftD8sfcF1GWy7VSXmE
11CEJ,https://chat.whatsapp.com/FlK1jv63ly9FbplX6TdAN4
11CFB,https://chat.whatsapp.com/DwKk5CW0Fdw9xd9CbhatuY
12CFB,https://chat.whatsapp.com/I1pBmTW9B0h5G7sNdaINtU
12CEJ,https://chat.whatsapp.com/HOHzGup720p1O2EUGRw6aE
10CG,https://chat.whatsapp.com/Ey9j8XEgw90JZVPU8az8Lv
11CG,https://chat.whatsapp.com/KJiclKhAdxNAvaELSnJ7WL
12CG,https://chat.whatsapp.com/ChvyPB1dBjTCqm1leF8oP6
13CG,https://chat.whatsapp.com/GyjjXJTZcv85N6aA8bLj8j
10INF,https://chat.whatsapp.com/FKqVEQ0KUn5HvnMU50HiuY
11INF,https://chat.whatsapp.com/EMgpuuUKJ6k7vH3v1BVTRq
12INF,https://chat.whatsapp.com/DXjYXsU3J7CKnaB1vFsfvE
13INF,https://chat.whatsapp.com/C2wDqfeUheJBuFD7jAsCnN
10ETC,https://chat.whatsapp.com/KLHahCF6olSACf8EGZKXlJ
11ETC,https://chat.whatsapp.com/JPiVS04cSWn55s8xvIFzfc
12ETC,https://chat.whatsapp.com/K4b3ds9h4h7HHoaApqQqSp
13ETC,https://chat.whatsapp.com/HI6ZXLGTHntBRxkkXdb4Pk
